Tom Waits Happy Hour	Whiskey and Dust	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	http://www.whiskeyanddust.com
Honky Tonk Tuesday on Sunday	Flaming Ugly Cowboy Saloon	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 10 PM ']	Drink the afternoon away while we listen to roots and outlaw country, heckle passers-by, and make spectacles of ourselves.
Unofficial Playa Civil Unions	Two Lanterns	Ritual/Ceremony	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM ']	https://www.facebook.com/twolanternsthemecamp?ref=aymt_homepage_panel
The Rusty Speculum Bar	Planned Playahood	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 9 PM ']	Come unfuck your Burn with drink and game specials from around the world – daily themes hosted by our amazing international campmates.
Walk the Galactic Labyrinth	Galactic Labyrinth	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM <--> Saturday, August 31st, 2019, 6 PM – 10 PM <--> Sunday, September 1st, 2019, 6 PM – 10 PM ']	A sacred space where one can journey to the center of their deepest self and back out to the playa with a deeper understanding of who they are.
Fruit Infused Water Bar!	Pele's Fire	Food	['Sunday, August 25th, 2019, 6 PM – 6:15 PM ']	Eat playa dust all day, drink fruity cool water 12-4 pm at Pele's Fire.
Any-A Meeting	Anonymous Village	Care/Support	['Sunday, August 25th, 2019, 6 PM – 7 PM <--> Monday, August 26th, 2019, 6 PM – 7 PM <--> Tuesday, August 27th, 2019, 6 PM – 7 PM <--> Wednesday, August 28th, 2019, 6 PM – 7 PM <--> Thursday, August 29th, 2019, 6 PM – 7 PM <--> Friday, August 30th, 2019, 6 PM – 7 PM <--> Saturday, August 31st, 2019, 6 PM – 7 PM <--> Sunday, September 1st, 2019, 6 PM – 7 PM ']	https://burnanon.org
Be A Lamplighter!	snotto@burningman.org	Ritual/Ceremony	['Sunday, August 25th, 2019, 6 PM – 7:30 PM <--> Monday, August 26th, 2019, 6 PM – 7:30 PM <--> Tuesday, August 27th, 2019, 6 PM – 7:30 PM <--> Wednesday, August 28th, 2019, 6 PM – 7:30 PM <--> Thursday, August 29th, 2019, 6 PM – 7:30 PM <--> Friday, August 30th, 2019, 6 PM – 7:30 PM <--> Saturday, August 31st, 2019, 6 PM – 7:30 PM ']	Participate with us and be a part of BRC tradition! Anyone can be a Lamplighter, all you need to do is show up at 5pm to our Center Camp Workspace.
Mega misting chillout	Discordia	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Mega misting and music in the Discordia pyramid all afternoon
Acculturation for First-Time Burners	5&D	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 6:30 PM ']	Come learn about burner culture, the 10 principles, MOOP, consent, and tons of tips for getting the most out of your first burn!
Bad Asstronauts Moontang Happy Hour	Badasstronauts	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Come party with us and dance to your favorite Bad Asstronauts and special guest DJs for happy hour from 3:00pm-5:00pm, free Moontang shots for those over 21
Disc Golf 24/7	Black Rock Disc Golf Club	Game	['Sunday, August 25th, 2019, 6 PM – 6 AM <--> Monday, August 26th, 2019, 6 PM – 6 AM <--> Tuesday, August 27th, 2019, 6 PM – 6 AM <--> Wednesday, August 28th, 2019, 6 PM – 6 AM <--> Thursday, August 29th, 2019, 6 PM – 6 AM <--> Friday, August 30th, 2019, 6 PM – 6 AM <--> Saturday, August 31st, 2019, 6 PM – 6 AM <--> Sunday, September 1st, 2019, 6 PM – 6 AM ']	Come stop by Black Rock Disc Golf Club! We have plenty of loaner discs and always happy to show beginners how to play. The course is lit at night for 24/7 play
Camp Encounter	Encounter	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	Enjoy our family house. Fresh hot cookies, jewelry making, lawn games, relax on our deck, experience our unique interactive spiritual encounter rooms. When you are here you are family.
You too can be a Playa Bartender	White Trash Superstars (WTS)	Adult-oriented	['Sunday, August 25th, 2019, 6 PM – 2 AM <--> Monday, August 26th, 2019, 6 PM – 2 AM <--> Tuesday, August 27th, 2019, 6 PM – 2 AM <--> Wednesday, August 28th, 2019, 6 PM – 2 AM <--> Thursday, August 29th, 2019, 6 PM – 2 AM <--> Friday, August 30th, 2019, 6 PM – 2 AM <--> Saturday, August 31st, 2019, 6 PM – 2 AM <--> Sunday, September 1st, 2019, 6 PM – 2 AM ']	https://www.facebook.com/White-Trash-Superstars-174384205941598/
Self Serve Tea at the MASSochists' T Station	The Hive	Food	['Sunday, August 25th, 2019, 6 PM – 11:45 PM <--> Monday, August 26th, 2019, 6 PM – 11:45 PM <--> Tuesday, August 27th, 2019, 6 PM – 11:45 PM <--> Wednesday, August 28th, 2019, 6 PM – 11:45 PM <--> Thursday, August 29th, 2019, 6 PM – 11:45 PM <--> Friday, August 30th, 2019, 6 PM – 11:45 PM <--> Saturday, August 31st, 2019, 6 PM – 11:45 PM <--> Sunday, September 1st, 2019, 6 PM – 11:45 PM ']	Warm up with some delicious Tea at the T Station. Mix your own blend or use one of ours. Bring a cup or use our yellow cup program in the camp
Mission Burritos, Side Cars and Cold Brew	Mission District	Food	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Experience the hipster effect all burn long with our daily Side Cars and Cold Bew. Not enough? join the lineup on Tuesday for Magical Mission Burritos
Trampoline Sports and Play Arena	Entheos	Kid-friendly	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	http://www.entheosrising.org
Yoga Power Flow	Mystery Toasties	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	A traditional power yoga flow with a slight softening and themes. Newbies as well as advanced practitioners welcome. Some mats for use.
Mobility Mornings @ The Oasis	Rainbow OASIS	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM ']	Every morning someone from our camp will lead a group stretch. Throughout the day our Body Shop (with lacrosse balls, foam rollers, etc.) is open.
Shoot Your Balls Off!	Awkward & Tawdry Lounge	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM ']	Does Shooting Your Balls Off scare you? How about someone else’s? Test your courage and aim at Black Rock City’s favorite carnival game. Safety Third!
Hailing passerbys	The Tiniest Camp	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 7 PM <--> Monday, August 26th, 2019, 6 PM – 7 PM <--> Friday, August 30th, 2019, 6 PM – 7 PM ']	https://www.facebook.com/events/376174366584047/
All-levels Acro Jam	Infinite Love	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 7 PM <--> Monday, August 26th, 2019, 6 PM – 7 PM <--> Tuesday, August 27th, 2019, 6 PM – 7 PM ']	Blend partner yoga, acrobatics and thai massage, to practice trust, communication and connection. Have fun figuring out how two bodies can interact!
Sunrise Yoga and Meditation	I Love Elephants	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Tune in to the potent vibrations of the Playa. We'll cultivate awareness for the present moment & set powerful intentions for the day. Guest teachers.
Psycho Swing of Death	Two Lanterns	Other	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM ']	https://www.facebook.com/twolanternsthemecamp?ref=aymt_homepage_panel
Dusty Nuts Happy Hour	The Dusty Nuts Tavern	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM <--> Monday, August 26th, 2019, 6 PM – 8 PM <--> Tuesday, August 27th, 2019, 6 PM – 8 PM <--> Wednesday, August 28th, 2019, 6 PM – 8 PM <--> Thursday, August 29th, 2019, 6 PM – 8 PM <--> Friday, August 30th, 2019, 6 PM – 8 PM ']	http://dustynutstavern.com
Route Setting Party	Declusterfuqerization v6	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	Come set the routes on the Declusterfuq's infamous rock climbing wall! Drink cold not-piss while setting routes from mild to wild!
Naughty Naked Portraits	Bear Naked Tramps Camp	Adult-oriented	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	https://bentang.smugmug.com/Events/BM2017/2017-BRC-Anonymous-Naked-Yearbook/
Sunset Sunday Singalong Party	Champagne Lounge	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	https://www.facebook.com/Champagnelounge
Trading Booth of Stories & Secrets	EBB & Glow Village	Game	['Sunday, August 25th, 2019, 6 PM – 9 PM <--> Monday, August 26th, 2019, 6 PM – 9 PM <--> Tuesday, August 27th, 2019, 6 PM – 9 PM <--> Wednesday, August 28th, 2019, 6 PM – 9 PM <--> Thursday, August 29th, 2019, 6 PM – 9 PM <--> Friday, August 30th, 2019, 6 PM – 9 PM <--> Saturday, August 31st, 2019, 6 PM – 9 PM ']	hello@supermoni.ca
Self Serve T at The MASSochists' T Station	cyborgicorn	Food	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Warm up with some delicious Tea at the T Station. Mix your own blend or use one of ours. Bring a cup or use our yellow cup program in the camp
Huggzilla Sunrise Coffee	10:00 & H	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	https://www.facebook.com/events/1139988739527655
Random Happy Hour	Ludus Symposium	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Random Happy Hour happens...Randomly. Drop by the bar for a drink and a hug.
Hot Dogs at Dusk	Camp D^5	Food	['Sunday, August 25th, 2019, 6 PM – 7:45 PM ']	http://www.CampD5.com
Test your Cupcake Taste Buds	Random Acts of Cupcake	Food	['Sunday, August 25th, 2019, 6 PM – 8 PM <--> Monday, August 26th, 2019, 6 PM – 8 PM <--> Tuesday, August 27th, 2019, 6 PM – 8 PM <--> Wednesday, August 28th, 2019, 6 PM – 8 PM <--> Thursday, August 29th, 2019, 6 PM – 8 PM <--> Friday, August 30th, 2019, 6 PM – 8 PM ']	Think you know your tastebuds? Come don the Mystical Goggles of Enlightenment and spin the Double Discs of Deliciousness. Each Disc has 6 different cupcake frostings or 6 different toppings. We’ll craft a cupcake based on what you spun. You shove that thing in your Cupcake Hole and tell us what you think! Prizes and eternal glory for the winners. And if you don’t win, at least you get a cupcake.
Sunnuy's Sunglass Hut	SIZE DOESN'T MATTER	Other	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM ']	Need glasses? We got em' Protect your eyes from the sun and dust! We even have readers!
Sunset Social: Rondo Spritzer Mixer	Giants Workshop	Ritual/Ceremony	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	And on the first day, Larry said, “Let there be Rondo Spritzes”
Find your Mimo	THairAPY Salo(o)n	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	Find your Mimo - Ur Home now find your mimo with create your very own hairy situation to the rest of your... wait, where’s my hair again? Mimosas and tunes 11ish - 2pm
Friendship Ceremonies!	Friendlandia	Ritual/Ceremony	['Sunday, August 25th, 2019, 6 PM – 9 PM <--> Monday, August 26th, 2019, 6 PM – 9 PM <--> Tuesday, August 27th, 2019, 6 PM – 9 PM <--> Wednesday, August 28th, 2019, 6 PM – 9 PM <--> Thursday, August 29th, 2019, 6 PM – 9 PM <--> Friday, August 30th, 2019, 6 PM – 9 PM <--> Saturday, August 31st, 2019, 6 PM – 9 PM ']	Bring a friend to celebrate your friendship in a short and heartfelt guided ceremony. Then exchange bracelets to become BFFs—Burner Friends Forever!
Photography in the Natural Light	Over Exposed	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 6:15 PM ']	Got a camera but don't know how to use the natural light to make your images pop? Come on over and learn how to make images pop!
WELCOME HOME PARTY	Never Sleep Again	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 6 AM ']	Come dance the night away with world-class DJs and drinks until the sun comes up as we celebrate our return to the playa. Always love. Never Sleep.
Eurotrash Sundown Sangria	4:30 and G Plaza	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 7:30 PM ']	salmanhasan@yahoo.com
Kubb Kicks	Two Lanterns	Game	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM <--> Saturday, August 31st, 2019, 6 PM – 10 PM ']	https://www.facebook.com/twolanternsthemecamp?ref=aymt_homepage_panel
Entheos Bazaar	Entheos	Care/Support	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM <--> Saturday, August 31st, 2019, 6 PM – 10 PM ']	http://www.entheosrising.org
White Trash Superstars (WTS) Dive Bar & Games	White Trash Superstars (WTS)	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 3 AM <--> Monday, August 26th, 2019, 6 PM – 3 AM <--> Tuesday, August 27th, 2019, 6 PM – 3 AM <--> Wednesday, August 28th, 2019, 6 PM – 3 AM <--> Thursday, August 29th, 2019, 6 PM – 3 AM <--> Friday, August 30th, 2019, 6 PM – 3 AM <--> Saturday, August 31st, 2019, 6 PM – 3 AM <--> Sunday, September 1st, 2019, 6 PM – 3 AM ']	https://www.facebook.com/White-Trash-Superstars-174384205941598/
The Orgasamator Experience	Sensual Pleasures (The Camp for)	Adult-oriented	['Sunday, August 25th, 2019, 6 PM – 2 AM <--> Monday, August 26th, 2019, 6 PM – 2 AM <--> Tuesday, August 27th, 2019, 6 PM – 2 AM <--> Wednesday, August 28th, 2019, 6 PM – 2 AM <--> Thursday, August 29th, 2019, 6 PM – 2 AM <--> Friday, August 30th, 2019, 6 PM – 2 AM <--> Saturday, August 31st, 2019, 6 PM – 2 AM <--> Sunday, September 1st, 2019, 6 PM – 2 AM ']	http://www.campsensualpleasures.com/
CELESTIAL BODIES BAR AND LOUNGE	Celestial Bodies	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 1 AM <--> Monday, August 26th, 2019, 6 PM – 1 AM <--> Tuesday, August 27th, 2019, 6 PM – 1 AM <--> Wednesday, August 28th, 2019, 6 PM – 1 AM <--> Thursday, August 29th, 2019, 6 PM – 1 AM <--> Friday, August 30th, 2019, 6 PM – 1 AM ']	http://campcelestialbodies.org
Journal Station	CampFire Cove	Other	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Pour your heart and soul anonymously into the journal station.
Super Power Misting - Best Ever!	I Love Elephants	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Best misting system on the Playa! A Burner favorite for ten years! Be misted, then hang out and paint elephants or climb our wildlife watch tower!
Evening Ecstatic Dance	Anahasana Village	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 7:30 PM <--> Monday, August 26th, 2019, 6 PM – 7:30 PM <--> Tuesday, August 27th, 2019, 6 PM – 7:30 PM <--> Wednesday, August 28th, 2019, 6 PM – 7:30 PM <--> Thursday, August 29th, 2019, 6 PM – 7:30 PM <--> Friday, August 30th, 2019, 6 PM – 7:30 PM ']	Dance your ass off with a high vibration community on one of the playa's only wooden floors! Moving dj sets of global electronic soul music!
Elephant Painting Sudio	I Love Elephants	Kid-friendly	['Sunday, August 25th, 2019, 6 PM – 7 PM <--> Monday, August 26th, 2019, 6 PM – 7 PM <--> Tuesday, August 27th, 2019, 6 PM – 7 PM <--> Wednesday, August 28th, 2019, 6 PM – 7 PM <--> Thursday, August 29th, 2019, 6 PM – 7 PM <--> Friday, August 30th, 2019, 6 PM – 7 PM <--> Saturday, August 31st, 2019, 6 PM – 7 PM <--> Sunday, September 1st, 2019, 6 PM – 7 PM ']	Embrace your inner artist & paint an elephant drawing on large canvas on our dance floor or paint a personal-sized 6 laser cut elephant to take home!
Otter-Pop Slushy Social	Disciples of Absentia (Camp DOA)	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 7 PM ']	Serving Otter Pop Margarita Slushies (booze free options too) to the tired builders and fresh arrivals at One Eyed Jacks Tavern. We will have music provided by our own DJ Muloka, come drink and dance with us! (Starts at 4PM, come early before we run out!)
